"Gender","Age.Description","Death.Count","Population","Crude.Death.Rate"
"Female","Under 1 Year",49016,7846166,624.7
"Female","1- 4 years",8689,30110500,28.9
"Female","5- 9 years",5595,39639456,14.1
"Female","10-14 years",6399,40360290,15.9
"Female","15-19 years",15621,39339459,39.7
"Female","20-24 years",17776,37857523,47
"Female","25-34 years",50896,79035547,64.4
"Female","35-44 years",131696,90536189,145.5
"Female","45-54 years",245138,78172750,313.6
"Female","55-64 years",394940,51980118,759.8
"Female","65-74 years",766829,40202118,1907.4
"Female","75-84 years",1443183,30133845,4789.2
"Female","85 years and over",1782749,12281209,14516.1
